Place,CA Places Key,GEOID,County,County label,Jurisdiction Type,Retail: Storefront,Retail: Non-Storefront,Distribution,Testing,Manufacturing,Cultivation,Are all CCA activites prohibited?,Is all retail prohibited?,CCA Prohibited by County,Updated
Citrus Heights,Citrus Heights,613588,Sacramento,Sacramento County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Elk Grove,Elk Grove,622020,Sacramento,Sacramento County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Folsom,Folsom,624638,Sacramento,Sacramento County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Galt,Galt,628112,Sacramento,Sacramento County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Isleton,Isleton,636882,Sacramento,Sacramento County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Limited,No,No,,2022-01-22
Rancho Cordova,Rancho Cordova,659444,Sacramento,Sacramento County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Sacramento,Sacramento,664000,Sacramento,Sacramento County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Limited,No,No,,2022-01-22
Hollister,Hollister,634120,San Benito,San Benito County,City,Limited-Medical Only,Limited,Allowed,Allowed,Allowed,Limited,No,No,,2022-01-22
San Juan Bautista,San Juan Bautista,668014,San Benito,San Benito County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,No,No,,2022-01-22
Adelanto,Adelanto,600296,San Bernardino,San Bernardino County,City,Limited,Limited,Allowed,Allowed,Allowed,Allowed,No,No,,2022-01-22
Apple Valley,Apple Valley,602364,San Bernardino,San Bernardino County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Barstow,Barstow,604030,San Bernardino,San Bernardino County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Limited,No,No,,2022-01-22
Big Bear Lake,Big Bear Lake,606434,San Bernardino,San Bernardino County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Chino,Chino,613210,San Bernardino,San Bernardino County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Chino Hills,Chino Hills,613214,San Bernardino,San Bernardino County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Colton,Colton,614890,San Bernardino,San Bernardino County,City,Prohibited,Prohibited,Prohibited,Allowed,Allowed,Limited,No,Yes,,2022-01-22
Fontana,Fontana,624680,San Bernardino,San Bernardino County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Grand Terrace,Grand Terrace,630658,San Bernardino,San Bernardino County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Hesperia,Hesperia,633434,San Bernardino,San Bernardino County,City,Prohibited,Limited-Medical Only,Prohibited,Prohibited,Prohibited,Prohibited,No,No,,2022-01-22
Highland,Highland,633588,San Bernardino,San Bernardino County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Loma Linda,Loma Linda,642370,San Bernardino,San Bernardino County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Montclair,Montclair,648788,San Bernardino,San Bernardino County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Needles,Needles,650734,San Bernardino,San Bernardino County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,No,No,,2022-01-22
Ontario,Ontario,653896,San Bernardino,San Bernardino County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Rancho Cucamonga,Rancho Cucamonga,659451,San Bernardino,San Bernardino County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Redlands,Redlands,659962,San Bernardino,San Bernardino County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Rialto,Rialto,660466,San Bernardino,San Bernardino County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
San Bernardino,San Bernardino,665000,San Bernardino,San Bernardino County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Limited,No,No,,2022-01-22
Twentynine Palms,Twentynine Palms,680994,San Bernardino,San Bernardino County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Upland,Upland,681344,San Bernardino,San Bernardino County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Victorville,Victorville,682590,San Bernardino,San Bernardino County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Yucaipa,Yucaipa,687042,San Bernardino,San Bernardino County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Yucca Valley,Yucca Valley,687056,San Bernardino,San Bernardino County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Carlsbad,Carlsbad,611194,San Diego,San Diego County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Chula Vista,Chula Vista,613392,San Diego,San Diego County,City,Limited,Allowed,Allowed,Allowed,Allowed,Limited,No,No,,2022-01-22
Coronado,Coronado,616378,San Diego,San Diego County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Del Mar,Del Mar,618506,San Diego,San Diego County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
El Cajon,El Cajon,621712,San Diego,San Diego County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Encinitas,Encinitas,622678,San Diego,San Diego County,City,Allowed,Allowed,Allowed,Prohibited,Allowed,Allowed,No,No,,2022-01-22
Escondido,Escondido,622804,San Diego,San Diego County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Imperial Beach,Imperial Beach,636294,San Diego,San Diego County,City,Allowed,Allowed,Prohibited,Prohibited,Prohibited,Prohibited,No,No,,2022-01-22
La Mesa,La Mesa,640004,San Diego,San Diego County,City,Allowed,Prohibited,Allowed,Allowed,Allowed,Allowed,No,No,,2022-01-22
Lemon Grove,Lemon Grove,641124,San Diego,San Diego County,City,Allowed,Allowed,Allowed,Prohibited,Allowed,Allowed,No,No,,2022-01-22
National City,National City,650398,San Diego,San Diego County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,No,No,,2022-01-22
Oceanside,Oceanside,653322,San Diego,San Diego County,City,Prohibited,Allowed,Allowed,Allowed,Allowed,Allowed,No,No,,2022-01-22
Poway,Poway,658520,San Diego,San Diego County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
San Diego,San Diego,666000,San Diego,San Diego County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,No,No,,2022-01-22
San Marcos,San Marcos,668196,San Diego,San Diego County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Santee,Santee,670224,San Diego,San Diego County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Solana Beach,Solana Beach,672506,San Diego,San Diego County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Vista,Vista,682996,San Diego,San Diego County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Prohibited,No,No,,2022-01-22
San Francisco,San Francisco,667000,San Francisco,San Francisco County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,No,No,,2022-01-22
Escalon,Escalon,622790,San Joaquin,San Joaquin County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Lathrop,Lathrop,640704,San Joaquin,San Joaquin County,City,Limited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,No,No,,2022-01-22
Lodi,Lodi,642202,San Joaquin,San Joaquin County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Manteca,Manteca,645484,San Joaquin,San Joaquin County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Ripon,Ripon,661026,San Joaquin,San Joaquin County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Stockton,Stockton,675000,San Joaquin,San Joaquin County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Limited,No,No,,2022-01-22
Tracy,Tracy,680238,San Joaquin,San Joaquin County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Limited,No,No,,2022-01-22
Arroyo Grande,Arroyo Grande,602868,San Luis Obispo,San Luis Obispo County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Atascadero,Atascadero,603064,San Luis Obispo,San Luis Obispo County,City,Prohibited,Allowed,Prohibited,Allowed,Prohibited,Prohibited,No,No,,2022-01-22
Grover Beach,Grover Beach,631393,San Luis Obispo,San Luis Obispo County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,No,No,,2022-01-22
Morro Bay,Morro Bay,649362,San Luis Obispo,San Luis Obispo County,City,Allowed,Allowed,Allowed,Prohibited,Prohibited,Prohibited,No,No,,2022-01-22
Paso Robles (El Paso de Robles),El Paso de Robles (Paso Robles),622300,San Luis Obispo,San Luis Obispo County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Pismo Beach,Pismo Beach,657414,San Luis Obispo,San Luis Obispo County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
San Luis Obispo,San Luis Obispo,668154,San Luis Obispo,San Luis Obispo County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Limited,No,No,,2022-01-22
Atherton,Atherton,603092,San Mateo,San Mateo County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Belmont,Belmont,605108,San Mateo,San Mateo County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Brisbane,Brisbane,608310,San Mateo,San Mateo County,City,Prohibited,Allowed,Allowed,Allowed,Allowed,Prohibited,No,No,,2022-01-22
Burlingame,Burlingame,609066,San Mateo,San Mateo County,City,Prohibited,Allowed,Prohibited,Prohibited,Prohibited,Prohibited,No,No,,2022-01-22
Colma,Colma,614736,San Mateo,San Mateo County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Daly City,Daly City,617918,San Mateo,San Mateo County,City,Allowed,Allowed,Prohibited,Allowed,Prohibited,Prohibited,No,No,,2022-01-22
East Palo Alto,East Palo Alto,620956,San Mateo,San Mateo County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Foster City,Foster City,625338,San Mateo,San Mateo County,City,Prohibited,Prohibited,Prohibited,Allowed,Prohibited,Prohibited,No,Yes,,2022-01-22
Half Moon Bay,Half Moon Bay,631708,San Mateo,San Mateo County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Limited,No,Yes,,2022-01-22
Hillsborough,Hillsborough,633798,San Mateo,San Mateo County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Menlo Park,Menlo Park,646870,San Mateo,San Mateo County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Millbrae,Millbrae,647486,San Mateo,San Mateo County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Pacifica,Pacifica,654806,San Mateo,San Mateo County,City,Allowed,Limited,Allowed,Allowed,Allowed,Prohibited,No,No,,2022-01-22
Portola Valley,Portola Valley,658380,San Mateo,San Mateo County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Limited,No,Yes,,2022-01-22
Redwood City,Redwood City,660102,San Mateo,San Mateo County,City,Allowed,Allowed,Prohibited,Prohibited,Prohibited,Limited,No,No,,2022-01-22
San Bruno,San Bruno,665028,San Mateo,San Mateo County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
San Carlos,San Carlos,665070,San Mateo,San Mateo County,City,Prohibited,Prohibited,Allowed,Allowed,Allowed,Allowed,No,Yes,,2022-01-22
San Mateo,San Mateo,668252,San Mateo,San Mateo County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
South San Francisco,South San Francisco,673262,San Mateo,San Mateo County,City,Prohibited,Allowed,Allowed,Allowed,Allowed,Limited,No,No,,2022-01-22
Woodside,Woodside,686440,San Mateo,San Mateo County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Buellton,Buellton,608758,Santa Barbara,Santa Barbara County,City,Prohibited,Prohibited,Prohibited,Allowed,Prohibited,Prohibited,No,Yes,,2022-01-22
Carpinteria,Carpinteria,611446,Santa Barbara,Santa Barbara County,City,Prohibited,Allowed,Allowed,Allowed,Allowed,Prohibited,No,No,,2022-01-22
Goleta,Goleta,630378,Santa Barbara,Santa Barbara County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Limited,No,No,,2022-01-22
Guadalupe,Guadalupe,631414,Santa Barbara,Santa Barbara County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Limited,No,No,,2022-01-22
Lompoc,Lompoc,642524,Santa Barbara,Santa Barbara County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Limited,No,No,,2022-01-22
Santa Barbara,Santa Barbara,669070,Santa Barbara,Santa Barbara County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Limited,No,No,,2022-01-22
Santa Maria,Santa Maria,669196,Santa Barbara,Santa Barbara County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Solvang,Solvang,672576,Santa Barbara,Santa Barbara County,City,Limited-Medical Only,Limited-Medical Only,Limited-Medical Only,Limited-Medical Only,Limited-Medical Only,Limited-Medical Only,No,No,,2022-01-22
Campbell,Campbell,610345,Santa Clara,Santa Clara County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Cupertino,Cupertino,617610,Santa Clara,Santa Clara County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Gilroy,Gilroy,629504,Santa Clara,Santa Clara County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Los Altos,Los Altos,643280,Santa Clara,Santa Clara County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Los Altos Hills,Los Altos Hills,643294,Santa Clara,Santa Clara County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Los Gatos,Los Gatos,644112,Santa Clara,Santa Clara County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Milpitas,Milpitas,647766,Santa Clara,Santa Clara County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Monte Sereno,Monte Sereno,648956,Santa Clara,Santa Clara County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Morgan Hill,Morgan Hill,649278,Santa Clara,Santa Clara County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Mountain View,Mountain View,649670,Santa Clara,Santa Clara County,City,Allowed,Allowed,Prohibited,Prohibited,Prohibited,Prohibited,No,No,,2022-01-22
Palo Alto,Palo Alto,655282,Santa Clara,Santa Clara County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
San Jose,San Jose,668000,Santa Clara,Santa Clara County,City,Limited,Limited,Allowed,Allowed,Allowed,Limited,No,No,,2022-01-22
Santa Clara,Santa Clara,669084,Santa Clara,Santa Clara County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Saratoga,Saratoga,670280,Santa Clara,Santa Clara County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Sunnyvale,Sunnyvale,677000,Santa Clara,Santa Clara County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Capitola,Capitola,611040,Santa Cruz,Santa Cruz County,City,Allowed,Prohibited,Prohibited,Allowed,Prohibited,Prohibited,No,No,,2022-01-22
Santa Cruz,Santa Cruz,669112,Santa Cruz,Santa Cruz County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,No,No,,2022-01-22
Scotts Valley,Scotts Valley,670588,Santa Cruz,Santa Cruz County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Watsonville,Watsonville,683668,Santa Cruz,Santa Cruz County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,No,No,,2022-01-22
Anderson,Anderson,602042,Shasta,Shasta County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Redding,Redding,659920,Shasta,Shasta County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Limited,No,No,,2022-01-22
Shasta Lake,Shasta Lake,671225,Shasta,Shasta County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Limited,No,No,,2022-01-22
Loyalton,Loyalton,644364,Sierra,Sierra County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Dorris,Dorris,619584,Siskiyou,Siskiyou County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Dunsmuir,Dunsmuir,620242,Siskiyou,Siskiyou County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Limited,No,No,,2022-01-22
Etna,Etna,622972,Siskiyou,Siskiyou County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Fort Jones,Fort Jones,625128,Siskiyou,Siskiyou County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Montague,Montague,648690,Siskiyou,Siskiyou County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Mount Shasta,Mount Shasta,649852,Siskiyou,Siskiyou County,City,Allowed,Limited-Medical Only,Allowed,Allowed,Allowed,Allowed,No,No,,2022-01-22
Tulelake,Tulelake,680686,Siskiyou,Siskiyou County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Weed,Weed,683850,Siskiyou,Siskiyou County,City,Allowed,Allowed,Prohibited,Prohibited,Prohibited,Limited,No,No,,2022-01-22
Yreka,Yreka,686944,Siskiyou,Siskiyou County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Benicia,Benicia,605290,Solano,Solano County,City,Limited,Allowed,Allowed,Allowed,Allowed,Limited,No,No,,2022-01-22
Dixon,Dixon,619402,Solano,Solano County,City,Allowed,Allowed,Prohibited,Allowed,Allowed,Limited,No,No,,2022-01-22
Fairfield,Fairfield,623182,Solano,Solano County,City,Allowed,Allowed,Prohibited,Allowed,Allowed,Prohibited,No,No,,2022-01-22
Rio Vista,Rio Vista,660984,Solano,Solano County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Limited,No,No,,2022-01-22
Suisun City,Suisun City,675630,Solano,Solano County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Limited,No,No,,2022-01-22
Vacaville,Vacaville,681554,Solano,Solano County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Prohibited,No,No,,2022-01-22
Vallejo,Vallejo,681666,Solano,Solano County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,No,No,,2022-01-22
Cloverdale,Cloverdale,614190,Sonoma,Sonoma County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,No,No,,2022-01-22
Cotati,Cotati,616560,Sonoma,Sonoma County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,No,No,,2022-01-22
Healdsburg,Healdsburg,633056,Sonoma,Sonoma County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Petaluma,Petaluma,656784,Sonoma,Sonoma County,City,Prohibited,Allowed,Allowed,Allowed,Allowed,Prohibited,No,No,,2022-01-22
Rohnert Park,Rohnert Park,662546,Sonoma,Sonoma County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Santa Rosa,Santa Rosa,670098,Sonoma,Sonoma County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Limited,No,No,,2022-01-22
Sebastopol,Sebastopol,670770,Sonoma,Sonoma County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Limited,No,No,,2022-01-22
Sonoma,Sonoma,672646,Sonoma,Sonoma County,City,Allowed,Allowed,Allowed,Allowed,Limited,Prohibited,No,No,,2022-01-22
Windsor,Windsor,685922,Sonoma,Sonoma County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Ceres,Ceres,612524,Stanislaus,Stanislaus County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Limited,No,No,,2022-01-22
Hughson,Hughson,634904,Stanislaus,Stanislaus County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Modesto,Modesto,648354,Stanislaus,Stanislaus County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,No,No,,2022-01-22
Newman,Newman,651140,Stanislaus,Stanislaus County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Oakdale,Oakdale,652694,Stanislaus,Stanislaus County,City,Allowed,Prohibited,Allowed,Allowed,Allowed,Allowed,No,No,,2022-01-22
Patterson,Patterson,656112,Stanislaus,Stanislaus County,City,Allowed,Prohibited,Allowed,Allowed,Allowed,Limited,No,No,,2022-01-22
Riverbank,Riverbank,661068,Stanislaus,Stanislaus County,City,Allowed,Allowed,Prohibited,Allowed,Prohibited,Limited,No,No,,2022-01-22
Turlock,Turlock,680812,Stanislaus,Stanislaus County,City,Allowed,Limited,Allowed,Allowed,Allowed,Limited,No,No,,2022-01-22
Waterford,Waterford,683612,Stanislaus,Stanislaus County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,No,No,,2022-01-22
Live Oak,Live Oak,641936,Sutter,Sutter County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Yuba City,Yuba City,686972,Sutter,Sutter County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Corning,Corning,616322,Tehama,Tehama County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Red Bluff,Red Bluff,659892,Tehama,Tehama County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Tehama,Tehama,678106,Tehama,Tehama County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Dinuba,Dinuba,619318,Tulare,Tulare County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Exeter,Exeter,623126,Tulare,Tulare County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Farmersville,Farmersville,623616,Tulare,Tulare County,City,Allowed,Prohibited,Allowed,Allowed,Allowed,Limited,No,No,,2022-01-22
Lindsay,Lindsay,641712,Tulare,Tulare County,City,Allowed,Limited,Allowed,Allowed,Allowed,Limited,No,No,,2022-01-22
Porterville,Porterville,658240,Tulare,Tulare County,City,Allowed,Limited,Prohibited,Prohibited,Prohibited,Prohibited,No,No,,2022-01-22
Tulare,Tulare,680644,Tulare,Tulare County,City,Allowed,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,No,No,,2022-01-22
Visalia,Visalia,682954,Tulare,Tulare County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Woodlake,Woodlake,686300,Tulare,Tulare County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Limited,No,No,,2022-01-22
Sonora,Sonora,672674,Tuolumne,Tuolumne County,City,Limited,Limited,Prohibited,Allowed,Allowed,Prohibited,No,No,,2022-01-22
Camarillo,Camarillo,610046,Ventura,Ventura County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Fillmore,Fillmore,624092,Ventura,Ventura County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Moorpark,Moorpark,649138,Ventura,Ventura County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Ojai,Ojai,653476,Ventura,Ventura County,City,Allowed,Allowed,Prohibited,Allowed,Allowed,Prohibited,No,No,,2022-01-22
Oxnard,Oxnard,654652,Ventura,Ventura County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Prohibited,No,No,,2022-01-22
Port Hueneme,Port Hueneme,658296,Ventura,Ventura County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Limited,No,No,,2022-01-22
Santa Paula,Santa Paula,670042,Ventura,Ventura County,City,Prohibited,Prohibited,Prohibited,Allowed,Prohibited,Prohibited,No,Yes,,2022-01-22
Simi Valley,Simi Valley,672016,Ventura,Ventura County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,,2022-01-22
Thousand Oaks,Thousand Oaks,678582,Ventura,Ventura County,City,Limited-Medical Only,Prohibited,Prohibited,Allowed,Prohibited,Prohibited,No,No,,2022-01-22
Ventura (San Buenaventura),San Buenaventura (Ventura),665042,Ventura,Ventura County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Prohibited,No,No,,2022-01-22
Davis,Davis,618100,Yolo,Yolo County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Prohibited,No,No,,2022-01-22
